insecticide,surface,repnum,total mosquitoes,filename,num_mos,month,strain,hours,mort_pcent,miscount,species,resistance
control,wood,1,8,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,8,0,cayman,0.5,0,0,A. aegypti,resistant
control,wood,2,10,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,10,0,cayman,0.5,0,0,A. aegypti,resistant
control,wood,3,9,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,9,0,cayman,0.5,0,0,A. aegypti,resistant
deltamethrin,wood,1,8,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,8,0,cayman,0.5,12.5,0,A. aegypti,resistant
deltamethrin,wood,2,9,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,9,0,cayman,0.5,33.33333333,0,A. aegypti,resistant
deltamethrin,wood,8,9,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,9,0,cayman,0.5,11.11111111,0,A. aegypti,resistant
control,cement,1,9,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,9,0,cayman,0.5,0,0,A. aegypti,resistant
control,cement,2,10,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,10,0,cayman,0.5,0,0,A. aegypti,resistant
control,cement,3,9,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,9,0,cayman,0.5,0,0,A. aegypti,resistant
deltamethrin,cement,1,9,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,9,0,cayman,0.5,33.33333333,0,A. aegypti,resistant
deltamethrin,cement,2,11,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,11,0,cayman,0.5,54.54545455,0,A. aegypti,resistant
deltamethrin,cement,3,10,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,10,0,cayman,0.5,10,0,A. aegypti,resistant
control,mud,1,11,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,11,0,cayman,0.5,0,0,A. aegypti,resistant
control,mud,2,11,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,11,0,cayman,0.5,9.090909091,0,A. aegypti,resistant
control,mud,3,8,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,8,0,cayman,0.5,0,0,A. aegypti,resistant
deltamethrin,mud,1,10,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,10,0,cayman,0.5,0,0,A. aegypti,resistant
deltamethrin,mud,2,7,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,7,0,cayman,0.5,14.28571429,0,A. aegypti,resistant
deltamethrin,mud,3,9,Results for 0 months post spray/Cayman data 12th oct 16.xlsx,9,0,cayman,0.5,55.55555556,0,A. aegypti,resistant
control,wood,1,10,Results for 0 months post spray/fang data 14th oct 16.xlsx,10,0,fang,0.5,0,0,An. funestus,susceptible
control,wood,2,12,Results for 0 months post spray/fang data 14th oct 16.xlsx,12,0,fang,0.5,0,0,An. funestus,susceptible
control,wood,3,9 (3 males),Results for 0 months post spray/fang data 14th oct 16.xlsx,9,0,fang,0.5,0,0,An. funestus,susceptible
deltamethrin,wood,1,9,Results for 0 months post spray/fang data 14th oct 16.xlsx,9,0,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,wood,2,11,Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,90.90909091,0,An. funestus,susceptible
deltamethrin,wood,3,11,Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,72.72727273,0,An. funestus,susceptible
control,cement,1,11,Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,9.090909091,0,An. funestus,susceptible
control,cement,2,12,Results for 0 months post spray/fang data 14th oct 16.xlsx,12,0,fang,0.5,0,0,An. funestus,susceptible
control,cement,3,11,Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,0,0,An. funestus,susceptible
deltamethrin,cement,1,12,Results for 0 months post spray/fang data 14th oct 16.xlsx,12,0,fang,0.5,75,0,An. funestus,susceptible
deltamethrin,cement,2,10,Results for 0 months post spray/fang data 14th oct 16.xlsx,10,0,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,cement,3,10,Results for 0 months post spray/fang data 14th oct 16.xlsx,10,0,fang,0.5,100,0,An. funestus,susceptible
control,mud,1,11 (2males),Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,0,0,An. funestus,susceptible
control,mud,2,11,Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,0,0,An. funestus,susceptible
control,mud,3,11,Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,0,0,An. funestus,susceptible
deltamethrin,mud,1,11,Results for 0 months post spray/fang data 14th oct 16.xlsx,11,0,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,mud,2,10,Results for 0 months post spray/fang data 14th oct 16.xlsx,10,0,fang,0.5,100,0,An. funestus,susceptible
deltamethrin,mud,3,9,Results for 0 months post spray/fang data 14th oct 16.xlsx,9,0,fang,0.5,100,0,An. funestus,susceptible
control,wood,1,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,0,0,An. funestus,resistant
control,wood,2,10,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,10,0,fumoz,0.5,10,0,An. funestus,resistant
control,wood,3,13,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,13,0,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,wood,1,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,11.11111111,0,An. funestus,resistant
deltamethrin,wood,2,12,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,12,0,fumoz,0.5,0,0,An. funestus,resistant
deltamethrin,wood,3,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,11.11111111,0,An. funestus,resistant
control,cement,1,9,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,9,0,fumoz,0.5,0,0,An. funestus,resistant
control,cement,2,10,Results for 0 months post spray/Fumoz data 14th oct 16.xlsx,10,0,fumoz,0.5,0,0,An. funestus,resistant
